generation,best_fitness
0,24
1,26
2,26
3,26
4,28
5,28
6,28
7,28
8,28
9,28
10,29
11,29
12,29
13,29
14,29
15,29
16,29
17,29
18,29
19,29
20,29
21,29
22,29
23,30
24,30
25,30
26,30
27,30
28,30
29,30
30,30
31,30
32,30
33,30
34,30
35,30
36,30
37,30
38,30
39,30
40,30
41,30
42,30
43,30
44,30
45,30
46,30
47,30
48,30
49,30
50,30
51,30
52,30
53,30
54,30
55,30
56,30
57,30
58,30
59,30
60,30
61,30
62,30
63,30
64,30
65,30
66,30
67,30
68,30
69,30
70,30
71,30
72,30
73,30
74,30
75,30
76,30
77,30
78,30
79,30
80,30
81,30
82,30
83,30
84,31
85,31
86,31
87,31
88,31
89,31
90,31
91,31
92,31
93,31
94,31
95,31
96,31
97,31
98,31
99,31
100,31
101,31
102,31
103,31
104,31
105,31
106,31
107,31
108,31
109,31
110,31
111,31
112,31
113,31
114,31
115,31
116,31
117,31
118,31
119,31
120,31
121,31
122,31
123,31
124,31
125,31
126,31
127,31
128,31
129,31
130,31
131,31
132,31
133,31
134,31
135,31
136,31
137,31
138,31
139,31
140,31
141,31
142,31
143,31
144,31
145,31
146,31
147,31
148,31
149,31
150,31
151,31
152,31
153,31
154,31
155,31
156,31
157,31
158,31
159,31
160,31
161,31
162,31
163,31
164,31
165,31
166,31
167,31
168,31
169,31
170,31
171,31
172,31
173,32
