population_size,mutation_rate,crossover_rate,trial,passcode,success,generations,time_sec
50,0.01,0.6,1,11010001101011100000000000000000.00,1,11,0.004
50,0.01,0.6,2,10001001100101100000000000000000.00,1,13,0
50,0.01,0.6,3,10111001011110100000000000000000.00,1,20,0.0078
50,0.01,0.6,4,11100001001011000000000000000000.00,1,16,0.0051
50,0.01,0.6,5,10111100010000000000000000000000.00,1,22,0.0086
50,0.01,0.6,6,101000100010011000000000000.00,1,20,0.0057
50,0.01,0.6,7,10010111001101100000000000000000.00,1,15,0.0053
50,0.01,0.6,8,111001000100101000000000000000.00,1,17,0.0048
50,0.01,0.6,9,10011001101001000000000000000000.00,1,14,0
50,0.01,0.6,10,1111110100001000000000000000000.00,1,16,0.0061
50,0.01,0.7,1,11010001101011100000000000000000.00,1,17,0.004
50,0.01,0.7,2,10001001100101100000000000000000.00,1,20,0.0079
50,0.01,0.7,3,10111001011110100000000000000000.00,1,17,0.0052
50,0.01,0.7,4,11100001001011000000000000000000.00,1,16,0
50,0.01,0.7,5,10111100010000000000000000000000.00,1,21,0.0082
50,0.01,0.7,6,101000100010011000000000000.00,1,12,0.0021
50,0.01,0.7,7,10010111001101100000000000000000.00,1,15,0.0076
50,0.01,0.7,8,111001000100101000000000000000.00,1,20,0
50,0.01,0.7,9,10011001101001000000000000000000.00,1,15,0.0128
50,0.01,0.7,10,1111110100001000000000000000000.00,1,11,0.0049
50,0.01,0.9,1,11010001101011100000000000000000.00,1,18,0.006
50,0.01,0.9,2,10001001100101100000000000000000.00,1,16,0.0075
50,0.01,0.9,3,10111001011110100000000000000000.00,1,12,0
50,0.01,0.9,4,11100001001011000000000000000000.00,1,20,0.0121
50,0.01,0.9,5,10111100010000000000000000000000.00,1,13,0.0062
50,0.01,0.9,6,101000100010011000000000000.00,1,13,0.0022
50,0.01,0.9,7,10010111001101100000000000000000.00,1,16,0.0049
50,0.01,0.9,8,111001000100101000000000000000.00,1,17,0.005
50,0.01,0.9,9,10011001101001000000000000000000.00,1,18,0.0104
50,0.01,0.9,10,1111110100001000000000000000000.00,1,13,0
50,0.05,0.6,1,11010001101011100000000000000000.00,1,46,0.0224
50,0.05,0.6,2,10001001100101100000000000000000.00,1,40,0.0102
50,0.05,0.6,3,10111001011110100000000000000000.00,1,43,0.0145
50,0.05,0.6,4,11100001001011000000000000000000.00,1,31,0.0099
50,0.05,0.6,5,10111100010000000000000000000000.00,1,49,0.017
50,0.05,0.6,6,101000100010011000000000000.00,1,33,0.0113
50,0.05,0.6,7,10010111001101100000000000000000.00,1,47,0.0178
50,0.05,0.6,8,111001000100101000000000000000.00,1,88,0.0305
50,0.05,0.6,9,10011001101001000000000000000000.00,1,24,0.0093
50,0.05,0.6,10,1111110100001000000000000000000.00,1,25,0.0086
50,0.05,0.7,1,11010001101011100000000000000000.00,1,21,0.0066
50,0.05,0.7,2,10001001100101100000000000000000.00,1,23,0.009
50,0.05,0.7,3,10111001011110100000000000000000.00,1,27,0.0073
50,0.05,0.7,4,11100001001011000000000000000000.00,1,29,0.0112
50,0.05,0.7,5,10111100010000000000000000000000.00,1,28,0.0149
50,0.05,0.7,6,101000100010011000000000000.00,1,16,0.0039
50,0.05,0.7,7,10010111001101100000000000000000.00,1,25,0.0131
50,0.05,0.7,8,111001000100101000000000000000.00,1,17,0.0049
50,0.05,0.7,9,10011001101001000000000000000000.00,1,26,0.0088
50,0.05,0.7,10,1111110100001000000000000000000.00,1,26,0.0087
50,0.05,0.9,1,11010001101011100000000000000000.00,1,30,0.0082
50,0.05,0.9,2,10001001100101100000000000000000.00,1,29,0.0122
50,0.05,0.9,3,10111001011110100000000000000000.00,1,25,0.0092
50,0.05,0.9,4,11100001001011000000000000000000.00,1,22,0.0084
50,0.05,0.9,5,10111100010000000000000000000000.00,1,24,0.0077
50,0.05,0.9,6,101000100010011000000000000.00,1,15,0.0056
50,0.05,0.9,7,10010111001101100000000000000000.00,1,23,0
50,0.05,0.9,8,111001000100101000000000000000.00,1,22,0.0128
50,0.05,0.9,9,10011001101001000000000000000000.00,1,18,0.0072
50,0.05,0.9,10,1111110100001000000000000000000.00,1,25,0.0124
50,0.1,0.6,1,11010001101011100000000000000000.00,1,108,0.0466
50,0.1,0.6,2,10001001100101100000000000000000.00,1,158,0.0527
50,0.1,0.6,3,10111001011110100000000000000000.00,1,169,0.0564
50,0.1,0.6,4,11100001001011000000000000000000.00,1,34,0.004
50,0.1,0.6,5,10111100010000000000000000000000.00,1,116,0.0423
50,0.1,0.6,6,101000100010011000000000000.00,1,191,0.068
50,0.1,0.6,7,10010111001101100000000000000000.00,1,173,0.0676
50,0.1,0.6,8,111001000100101000000000000000.00,1,390,0.1351
50,0.1,0.6,9,10011001101001000000000000000000.00,1,485,0.1885
50,0.1,0.6,10,1111110100001000000000000000000.00,1,176,0.0708
50,0.1,0.7,1,11010001101011100000000000000000.00,1,368,0.1464
50,0.1,0.7,2,10001001100101100000000000000000.00,1,303,0.0962
50,0.1,0.7,3,10111001011110100000000000000000.00,1,573,0.2249
50,0.1,0.7,4,11100001001011000000000000000000.00,1,301,0.1055
50,0.1,0.7,5,10111100010000000000000000000000.00,1,170,0.057
50,0.1,0.7,6,101000100010011000000000000.00,1,558,0.1922
50,0.1,0.7,7,10010111001101100000000000000000.00,1,279,0.1001
50,0.1,0.7,8,111001000100101000000000000000.00,1,96,0.0379
50,0.1,0.7,9,10011001101001000000000000000000.00,1,251,0.085
50,0.1,0.7,10,1111110100001000000000000000000.00,1,152,0.0567
50,0.1,0.9,1,11010001101011100000000000000000.00,1,184,0.0648
50,0.1,0.9,2,10001001100101100000000000000000.00,1,211,0.0773
50,0.1,0.9,3,10111001011110100000000000000000.00,1,698,0.2405
50,0.1,0.9,4,11100001001011000000000000000000.00,1,271,0.091
50,0.1,0.9,5,10111100010000000000000000000000.00,1,62,0.0253
50,0.1,0.9,6,101000100010011000000000000.00,1,80,0.0286
50,0.1,0.9,7,10010111001101100000000000000000.00,1,76,0.0316
50,0.1,0.9,8,111001000100101000000000000000.00,1,57,0.0174
50,0.1,0.9,9,10011001101001000000000000000000.00,1,179,0.0657
50,0.1,0.9,10,1111110100001000000000000000000.00,1,208,0.0662
100,0.01,0.6,1,11010001101011100000000000000000.00,1,14,0.0133
100,0.01,0.6,2,10001001100101100000000000000000.00,1,19,0.0134
100,0.01,0.6,3,10111001011110100000000000000000.00,1,14,0.0099
100,0.01,0.6,4,11100001001011000000000000000000.00,1,13,0.0068
100,0.01,0.6,5,10111100010000000000000000000000.00,1,8,0.0102
100,0.01,0.6,6,101000100010011000000000000.00,1,16,0.0087
100,0.01,0.6,7,10010111001101100000000000000000.00,1,16,0.007
100,0.01,0.6,8,111001000100101000000000000000.00,1,13,0.0157
100,0.01,0.6,9,10011001101001000000000000000000.00,1,13,0.0094
100,0.01,0.6,10,1111110100001000000000000000000.00,1,16,0.0101
100,0.01,0.7,1,11010001101011100000000000000000.00,1,12,0.0078
100,0.01,0.7,2,10001001100101100000000000000000.00,1,16,0.0164
100,0.01,0.7,3,10111001011110100000000000000000.00,1,14,0.0121
100,0.01,0.7,4,11100001001011000000000000000000.00,1,16,0.0089
100,0.01,0.7,5,10111100010000000000000000000000.00,1,11,0.0121
100,0.01,0.7,6,101000100010011000000000000.00,1,15,0.013
100,0.01,0.7,7,10010111001101100000000000000000.00,1,15,0.0106
100,0.01,0.7,8,111001000100101000000000000000.00,1,9,0.0078
100,0.01,0.7,9,10011001101001000000000000000000.00,1,12,0.0076
100,0.01,0.7,10,1111110100001000000000000000000.00,1,13,0.0115
100,0.01,0.9,1,11010001101011100000000000000000.00,1,9,0.0029
100,0.01,0.9,2,10001001100101100000000000000000.00,1,11,0.0078
100,0.01,0.9,3,10111001011110100000000000000000.00,1,11,0.0145
100,0.01,0.9,4,11100001001011000000000000000000.00,1,14,0.0157
100,0.01,0.9,5,10111100010000000000000000000000.00,1,12,0.009
100,0.01,0.9,6,101000100010011000000000000.00,1,9,0.0067
100,0.01,0.9,7,10010111001101100000000000000000.00,1,12,0.0082
100,0.01,0.9,8,111001000100101000000000000000.00,1,14,0.0101
100,0.01,0.9,9,10011001101001000000000000000000.00,1,13,0.0088
100,0.01,0.9,10,1111110100001000000000000000000.00,1,12,0.009
100,0.05,0.6,1,11010001101011100000000000000000.00,1,58,0.0381
100,0.05,0.6,2,10001001100101100000000000000000.00,1,13,0.0119
100,0.05,0.6,3,10111001011110100000000000000000.00,1,16,0.0102
100,0.05,0.6,4,11100001001011000000000000000000.00,1,35,0.0276
100,0.05,0.6,5,10111100010000000000000000000000.00,1,25,0.0163
100,0.05,0.6,6,101000100010011000000000000.00,1,14,0.0015
100,0.05,0.6,7,10010111001101100000000000000000.00,1,16,0.0108
100,0.05,0.6,8,111001000100101000000000000000.00,1,19,0.0077
100,0.05,0.6,9,10011001101001000000000000000000.00,1,31,0.0158
100,0.05,0.6,10,1111110100001000000000000000000.00,1,70,0.0452
100,0.05,0.7,1,11010001101011100000000000000000.00,1,18,0.0128
100,0.05,0.7,2,10001001100101100000000000000000.00,1,15,0.016
100,0.05,0.7,3,10111001011110100000000000000000.00,1,35,0.0451
100,0.05,0.7,4,11100001001011000000000000000000.00,1,24,0.0264
